Time (s),amplitude,frequency
0.0,0.0035990935,0.0
0.010666666666666666,0.0077814483,0.0
0.021333333333333333,0.007627447,0.0
0.032,0.0077209757,0.0
0.042666666666666665,0.007866319,0.0
0.05333333333333334,0.0076546352,0.0
0.064,0.007610873,0.0
0.07466666666666667,0.007941042,0.0
0.08533333333333333,0.0075510144,0.0
0.096,0.00742712,0.0
0.10666666666666667,0.0069114137,0.0
0.11733333333333333,0.009348236,0.0
0.128,0.0076341983,187.5
0.13866666666666666,0.11530527,187.5
0.14933333333333335,0.2809184,140.625
0.16,0.595404,187.5
0.17066666666666666,0.6719773,187.5
0.18133333333333335,0.96217674,140.625
0.192,1.3638922,140.625
0.20266666666666666,0.999964,375.0
0.21333333333333335,1.1659424,187.5
0.224,1.5315089,187.5
0.23466666666666666,1.4278371,187.5
0.24533333333333332,1.5963044,328.125
0.256,1.4923428,328.125
0.26666666666666666,1.5723848,328.125
0.2773333333333333,1.7034001,187.5
0.288,3.6549718,93.75
0.2986666666666667,2.7342372,93.75
0.30933333333333335,1.4028357,328.125
0.32,2.124846,140.625
0.33066666666666666,2.3765492,93.75
0.3413333333333333,1.579881,515.625
0.352,1.9907967,140.625
0.3626666666666667,1.6377817,281.25
0.37333333333333335,1.9430658,46.875
0.384,2.1323516,46.875
0.39466666666666667,2.0645802,46.875
0.4053333333333333,2.1001933,46.875
0.416,2.0425942,140.625
0.4266666666666667,2.4549532,46.875
0.43733333333333335,2.7362497,187.5
0.448,2.09157,46.875
0.45866666666666667,2.5897412,46.875
0.4693333333333333,2.8452585,93.75
0.48,2.2148275,187.5
0.49066666666666664,1.517201,46.875
0.5013333333333333,3.125378,140.625
0.512,2.3122396,93.75
0.5226666666666666,1.9781061,140.625
0.5333333333333333,2.6157775,187.5
0.544,2.941237,187.5
0.5546666666666666,2.066687,187.5
0.5653333333333334,2.6739466,140.625
0.576,3.1065195,93.75
0.5866666666666667,2.3331976,187.5
0.5973333333333334,1.3213267,93.75
0.608,1.5956757,187.5
0.6186666666666667,1.4165983,328.125
0.6293333333333333,2.7968616,46.875
