"Time (s)","Pressure (hPa)"
1.000929624E1,1.005755310E3
1.003441326E1,1.005782776E3
1.005949786E1,1.005801086E3
1.008460300E1,1.005807190E3
1.010970896E1,1.005804138E3
1.013481036E1,1.005798035E3
1.015991660E1,1.005798035E3
1.018501804E1,1.005831604E3
1.021012152E1,1.005886536E3
1.023522145E1,1.005926208E3
1.026033852E1,1.005929260E3
1.028544476E1,1.005892639E3
1.031053668E1,1.005856018E3
1.033563007E1,1.005831604E3
1.036071869E1,1.005825500E3
1.038582082E1,1.005834656E3
1.041093370E1,1.005846863E3
1.043603978E1,1.005865173E3
1.046114447E1,1.005874329E3
1.048624494E1,1.005868225E3
1.051134719E1,1.005837708E3
1.053644823E1,1.005813293E3
1.056155032E1,1.005813416E3
1.058664765E1,1.005816467E3
1.061177119E1,1.005825623E3
1.063684052E1,1.005853088E3
1.066195795E1,1.005868347E3
1.068705956E1,1.005862244E3
1.071216014E1,1.005859192E3
1.073726208E1,1.005843933E3
1.076237588E1,1.005828674E3
1.078747843E1,1.005837830E3
1.081258109E1,1.005856140E3
1.083766552E1,1.005837830E3
1.086276741E1,1.005798157E3
1.088786848E1,1.005798157E3
1.091297021E1,1.005825623E3
1.093807767E1,1.005825623E3
1.096317984E1,1.005801208E3
1.098828007E1,1.005782898E3
1.101338354E1,1.005785950E3
1.103848608E1,1.005792297E3
1.106358679E1,1.005789246E3
1.108868799E1,1.005801453E3
1.111381547E1,1.005816711E3
1.113888350E1,1.005822815E3
1.116399202E1,1.005825867E3
1.118909188E1,1.005825867E3
1.121419515E1,1.005831970E3
1.123929635E1,1.005841125E3
1.126439930E1,1.005856384E3
1.128948552E1,1.005841125E3
1.131460197E1,1.005810608E3
1.133970569E1,1.005813660E3
1.136481600E1,1.005847229E3
1.138990170E1,1.005856384E3
1.141500835E1,1.005828918E3
1.144009962E1,1.005816711E3
1.146522010E1,1.005828918E3
1.149032313E1,1.005841125E3
1.151542457E1,1.005816711E3
1.154052886E1,1.005792297E3
1.156563079E1,1.005798401E3
1.159074590E1,1.005835022E3
1.161581784E1,1.005844177E3
1.164092034E1,1.005822815E3
1.166602264E1,1.005801453E3
1.169113791E1,1.005804504E3
1.171623858E1,1.005828918E3
1.174133994E1,1.005847229E3
1.176645530E1,1.005844177E3
1.179155735E1,1.005825867E3
1.181665936E1,1.005822815E3
1.184175767E1,1.005838074E3
1.186685117E1,1.005835022E3
1.189193890E1,1.005816711E3
1.191704490E1,1.005816711E3
1.194213507E1,1.005822815E3
1.196725173E1,1.005822815E3
1.199235435E1,1.005825989E3
1.201745559E1,1.005832092E3
1.204256073E1,1.005838196E3
1.206766461E1,1.005850403E3
1.209277964E1,1.005862610E3
1.211788438E1,1.005844299E3
1.214296702E1,1.005810730E3
1.216806330E1,1.005804626E3
1.219316425E1,1.005819885E3
1.221828128E1,1.005832092E3
1.224338386E1,1.005835144E3
1.226848534E1,1.005850403E3
1.229358519E1,1.005862610E3
1.231869164E1,1.005850403E3
1.234379410E1,1.005829041E3
1.236891141E1,1.005816833E3
1.239398473E1,1.005810730E3
1.241910729E1,1.005807678E3
1.244418851E1,1.005819885E3
1.246930814E1,1.005835144E3
1.249441035E1,1.005819885E3
1.251951342E1,1.005792419E3
1.254461625E1,1.005792419E3
1.256975089E1,1.005829041E3
1.259483585E1,1.005850403E3
1.261993815E1,1.005829041E3
1.264501253E1,1.005801575E3
1.267011637E1,1.005810730E3
1.269522050E1,1.005829041E3
1.272033935E1,1.005819885E3
1.274543681E1,1.005816833E3
1.277053992E1,1.005819885E3
1.279565898E1,1.005829041E3
1.282076424E1,1.005844299E3
1.284586800E1,1.005832092E3
1.287097119E1,1.005822937E3
1.289606486E1,1.005822937E3
1.292115194E1,1.005835144E3
1.294625631E1,1.005835022E3
1.297136276E1,1.005819763E3
1.299648247E1,1.005816711E3
1.302158757E1,1.005825867E3
1.304667628E1,1.005835022E3
1.307179643E1,1.005835022E3
1.309691379E1,1.005825867E3
1.312201653E1,1.005816711E3
1.314711260E1,1.005831970E3
1.317219833E1,1.005825867E3
1.319729688E1,1.005819763E3
1.322241403E1,1.005819763E3
1.324751307E1,1.005828918E3
1.327263185E1,1.005825867E3
1.329771648E1,1.005816711E3
1.332283660E1,1.005831970E3
1.334793845E1,1.005853333E3
1.337303163E1,1.005831970E3
1.339814137E1,1.005795349E3
1.342322463E1,1.005798767E3
1.344831459E1,1.005829285E3
1.347341599E1,1.005829285E3
1.349853330E1,1.005801819E3
1.352363470E1,1.005780457E3
1.354873622E1,1.005774353E3
1.357382216E1,1.005795715E3
1.359893817E1,1.005832336E3
1.362403701E1,1.005832336E3
1.364913918E1,1.005801819E3
1.367423082E1,1.005798767E3
1.369932697E1,1.005820129E3
1.372442938E1,1.005832336E3
1.374954629E1,1.005823181E3
1.377464297E1,1.005817078E3
1.379976545E1,1.005820129E3
1.382484842E1,1.005823181E3
1.384996955E1,1.005829285E3
1.387507087E1,1.005829285E3
1.390018590E1,1.005820129E3
1.392527623E1,1.005807922E3
1.395035082E1,1.005786560E3
1.397545629E1,1.005783508E3
1.400055606E1,1.005817078E3
1.402567309E1,1.005850647E3
1.405077424E1,1.005847595E3
1.407587393E1,1.005826233E3
1.410099076E1,1.005823181E3
1.412609224E1,1.005826233E3
1.415119514E1,1.005817078E3
1.417629353E1,1.005810974E3
1.420139168E1,1.005820129E3
1.422646997E1,1.005838440E3
1.425158911E1,1.005850647E3
1.427669104E1,1.005841492E3
1.430179496E1,1.005820129E3
1.432690320E1,1.005810974E3
1.435201522E1,1.005826233E3
1.437711592E1,1.005847717E3
1.440221757E1,1.005844666E3
1.442732031E1,1.005826355E3
1.445239893E1,1.005820251E3
1.447749772E1,1.005829407E3
1.450260022E1,1.005835510E3
1.452770179E1,1.005826355E3
1.455282028E1,1.005817200E3
1.457792298E1,1.005795837E3
1.460303203E1,1.005798889E3
1.462813799E1,1.005829407E3
1.465322258E1,1.005838562E3
1.467833082E1,1.005829407E3
1.470341936E1,1.005823303E3
1.472851596E1,1.005823303E3
1.475361850E1,1.005826355E3
1.477873076E1,1.005826355E3
1.480383416E1,1.005820251E3
1.482893401E1,1.005811096E3
1.485403627E1,1.005832642E3
1.487914975E1,1.005866211E3
1.490424525E1,1.005857056E3
1.492934702E1,1.005844849E3
1.495445017E1,1.005866211E3
1.497953590E1,1.005866211E3
1.500463421E1,1.005832642E3
1.502973903E1,1.005817383E3
1.505485496E1,1.005829590E3
1.507995286E1,1.005832642E3
1.510505723E1,1.005820435E3
1.513018561E1,1.005820435E3
1.515526719E1,1.005826538E3
1.518036912E1,1.005829590E3
1.520545477E1,1.005835693E3
1.523055650E1,1.005832642E3
1.525567104E1,1.005811279E3
1.528077073E1,1.005814331E3
1.530587136E1,1.005826538E3
1.533097219E1,1.005814148E3
1.535609036E1,1.005792786E3
1.538119139E1,1.005808044E3
1.540627952E1,1.005832458E3
1.543139334E1,1.005823303E3
1.545648168E1,1.005808044E3
1.548158938E1,1.005801941E3
1.550666975E1,1.005808044E3
1.553177208E1,1.005811096E3
1.555689147E1,1.005835510E3
1.558199336E1,1.005869080E3
1.560709297E1,1.005878235E3
1.563219514E1,1.005853821E3
1.565729817E1,1.005823303E3
1.568240079E1,1.005811096E3
1.570750146E1,1.005814148E3
1.573258825E1,1.005814148E3
1.575769404E1,1.005808044E3
1.578280179E1,1.005820251E3
1.580790307E1,1.005826233E3
1.583300256E1,1.005823181E3
1.585814644E1,1.005817078E3
1.588321118E1,1.005814026E3
1.590832792E1,1.005817078E3
1.593340299E1,1.005826233E3
1.595852038E1,1.005810974E3
1.598363127E1,1.005795715E3
1.600872900E1,1.005807922E3
1.603381099E1,1.005847595E3
1.605891215E1,1.005841492E3
1.608402551E1,1.005814026E3
1.610912468E1,1.005823181E3
1.613422583E1,1.005841492E3
1.615932768E1,1.005820129E3
1.618443531E1,1.005820129E3
1.620952141E1,1.005838440E3
1.623462342E1,1.005829285E3
1.625972551E1,1.005814026E3
1.628482760E1,1.005820557E3
1.630994923E1,1.005848022E3
1.633504839E1,1.005860229E3
1.636016456E1,1.005851074E3
1.638526690E1,1.005835815E3
1.641037070E1,1.005817505E3
1.643545753E1,1.005802246E3
1.646056308E1,1.005796143E3
1.648566623E1,1.005796143E3
1.651075677E1,1.005811401E3
1.653585690E1,1.005832764E3
1.656095957E1,1.005835815E3
1.658607309E1,1.005829712E3
1.661117478E1,1.005829712E3
1.663630564E1,1.005844971E3
1.666139308E1,1.005848022E3
1.668648000E1,1.005835815E3
1.671158258E1,1.005835815E3
1.673669976E1,1.005841919E3
1.676178786E1,1.005823608E3
1.678690863E1,1.005783936E3
1.681200547E1,1.005783936E3
1.683710834E1,1.005817505E3
1.686221759E1,1.005841919E3
1.688732050E1,1.005857178E3
1.691242287E1,1.005869385E3
1.693752615E1,1.005854126E3
1.696263088E1,1.005823608E3
1.698773358E1,1.005823608E3
1.701284605E1,1.005829712E3
1.703794066E1,1.005811401E3
1.706302615E1,1.005796143E3
1.708813935E1,1.005805298E3
1.711323017E1,1.005817505E3
1.713834793E1,1.005838867E3
1.716343509E1,1.005857178E3
1.718855284E1,1.005841919E3
1.721365368E1,1.005811401E3
1.723875914E1,1.005805176E3
1.726385578E1,1.005832642E3
1.728895845E1,1.005860107E3
1.731408316E1,1.005860107E3
1.733916108E1,1.005817383E3
1.736426550E1,1.005783813E3
1.738936726E1,1.005808228E3
1.741446882E1,1.005841797E3
1.743957853E1,1.005829590E3
1.746466337E1,1.005820435E3
1.748977872E1,1.005823486E3
1.751488049E1,1.005832642E3
1.753996871E1,1.005832642E3
1.756506795E1,1.005823486E3
1.759016854E1,1.005814331E3
1.761531181E1,1.005814331E3
1.764038127E1,1.005829590E3
1.766548901E1,1.005826538E3
1.769059021E1,1.005808228E3
1.771569202E1,1.005805176E3
1.774077828E1,1.005817383E3
1.776591321E1,1.005814331E3
1.779099777E1,1.005817383E3
1.781612484E1,1.005826538E3
1.784119906E1,1.005832642E3
1.786629997E1,1.005832642E3
1.789140186E1,1.005838745E3
1.791650424E1,1.005850952E3
1.794161227E1,1.005860107E3
1.796671416E1,1.005850952E3
1.799181560E1,1.005857056E3
1.801690333E1,1.005847900E3
1.804201885E1,1.005823486E3
1.806712570E1,1.005808228E3
1.809220155E1,1.005799072E3
1.811732004E1,1.005805176E3
1.814242303E1,1.005826538E3
1.816751605E1,1.005826538E3
1.819263331E1,1.005796143E3
1.821773537E1,1.005786987E3
1.824283803E1,1.005814453E3
1.826794350E1,1.005841919E3
1.829303538E1,1.005820557E3
1.831816668E1,1.005790039E3
1.834323858E1,1.005786987E3
1.836834214E1,1.005811401E3
1.839344476E1,1.005826660E3
1.841854661E1,1.005823608E3
1.844365342E1,1.005826660E3
1.846875604E1,1.005829712E3
1.849385773E1,1.005823608E3
1.851896291E1,1.005823608E3
1.854406557E1,1.005823608E3
1.856916266E1,1.005796143E3
1.859424917E1,1.005796143E3
1.861936538E1,1.005826660E3
1.864447236E1,1.005844971E3
1.866957669E1,1.005829712E3
1.869469050E1,1.005817505E3
1.871978408E1,1.005823608E3
1.874488805E1,1.005838867E3
1.877000471E1,1.005851074E3
1.879510420E1,1.005835815E3
1.882020828E1,1.005811401E3
1.884528152E1,1.005808350E3
1.887038760E1,1.005820557E3
1.889549584E1,1.005826660E3
1.892060501E1,1.005841919E3
1.894570776E1,1.005832764E3
1.897081086E1,1.005793091E3
1.899591198E1,1.005786987E3
1.902099715E1,1.005829712E3
1.904611352E1,1.005857178E3
1.907122648E1,1.005844971E3
1.909629394E1,1.005857178E3
1.912141740E1,1.005860229E3
1.914651713E1,1.005841919E3
1.917162536E1,1.005814453E3
1.919672693E1,1.005805298E3
1.922182926E1,1.005820557E3
1.924693087E1,1.005829712E3
1.927204484E1,1.005841919E3
1.929713110E1,1.005854126E3
1.932224992E1,1.005854126E3
1.934733631E1,1.005832764E3
1.937243791E1,1.005820557E3
1.939754187E1,1.005826660E3
1.942264498E1,1.005835815E3
1.944773686E1,1.005817505E3
1.947283932E1,1.005820557E3
1.949795582E1,1.005854126E3
1.952304460E1,1.005848022E3
1.954816073E1,1.005829712E3
1.957326343E1,1.005838867E3
1.959837468E1,1.005854126E3
1.962345932E1,1.005835510E3
1.964856218E1,1.005811096E3
1.967365361E1,1.005804993E3
1.969877040E1,1.005817200E3
1.972387391E1,1.005832458E3
1.974897401E1,1.005841614E3
1.977410711E1,1.005838562E3
1.979919826E1,1.005832458E3
1.982430397E1,1.005829407E3
1.984941042E1,1.005820251E3
1.987447507E1,1.005808044E3
1.989957712E1,1.005804993E3
1.992467885E1,1.005820251E3
1.994978615E1,1.005835510E3
1.997487359E1,1.005847717E3
1.999999351E1,1.005847717E3
2.002509316E1,1.005823303E3
2.005019684E1,1.005811096E3
2.007529779E1,1.005804993E3
2.010038450E1,1.005814453E3
2.012550442E1,1.005820557E3
2.015059040E1,1.005820557E3
2.017569200E1,1.005811401E3
2.020081037E1,1.005811401E3
2.022590932E1,1.005829712E3
2.025101073E1,1.005841919E3
2.027610708E1,1.005817505E3
2.030120881E1,1.005790039E3
2.032631741E1,1.005802246E3
2.035142170E1,1.005820557E3
2.037651789E1,1.005826660E3
2.040161176E1,1.005814453E3
2.042672024E1,1.005802246E3
2.045181167E1,1.005811401E3
2.047691320E1,1.005832764E3
2.050202884E1,1.005832764E3
2.052713154E1,1.005811401E3
2.055223152E1,1.005814453E3
2.057732820E1,1.005829834E3
2.060244811E1,1.005823730E3
2.062754532E1,1.005814575E3
2.065266698E1,1.005823730E3
2.067772619E1,1.005842041E3
2.070284334E1,1.005848145E3
2.072794376E1,1.005848145E3
2.075302982E1,1.005845093E3
2.077815857E1,1.005820679E3
2.080324874E1,1.005805420E3
2.082835119E1,1.005814575E3
2.085345337E1,1.005826782E3
2.087855664E1,1.005832886E3
2.090367704E1,1.005826782E3
2.092874369E1,1.005826782E3
2.095387276E1,1.005835938E3
2.097896647E1,1.005835938E3
2.100406983E1,1.005814575E3
2.102917277E1,1.005799316E3
2.105427336E1,1.005814819E3
2.107939100E1,1.005848389E3
2.110447714E1,1.005836182E3
2.112959567E1,1.005805664E3
2.115471965E1,1.005805664E3
2.117977226E1,1.005823975E3
2.120487436E1,1.005817871E3
2.122997820E1,1.005796509E3
2.125510234E1,1.005811768E3
2.128021168E1,1.005833130E3
2.130529440E1,1.005836182E3
2.133041615E1,1.005842285E3
2.135551702E1,1.005857544E3
2.138062086E1,1.005851440E3
2.140571258E1,1.005836182E3
2.143079453E1,1.005842285E3
2.145590065E1,1.005839233E3
2.148101767E1,1.005823975E3
2.150612086E1,1.005836182E3
2.153122462E1,1.005857910E3
2.155632818E1,1.005830444E3
2.158144439E1,1.005790771E3
2.160654852E1,1.005793823E3
2.163164780E1,1.005821289E3
2.165676015E1,1.005830444E3
2.168183860E1,1.005818237E3
2.170693260E1,1.005809082E3
2.173203444E1,1.005821289E3
2.175715285E1,1.005839600E3
2.178225543E1,1.005851807E3
2.180735403E1,1.005854858E3
2.183247239E1,1.005833496E3
2.185758315E1,1.005799927E3
2.188267528E1,1.005787720E3
2.190778087E1,1.005809082E3
