"event","experiment time","system time","system time text"
"START",0.000000000E0,1749133532.719,"2025-06-05 16:25:32.719 UTC+02:00"
"PAUSE",1.035049748E3,1749134567.769,"2025-06-05 16:42:47.769 UTC+02:00"
