Timestamp,Mood,Arousal ,Social engagement ,Noise Level,Concentration Level
6/12/2025 15:50:01,3,2,1,2,1
6/12/2025 15:50:59,2,2,1,1,2
6/12/2025 15:52:38,3,2,3,2,2
6/12/2025 15:54:41,4,4,5,2,2
6/12/2025 15:55:44,2,3,1,2,5
6/12/2025 15:56:54,3,1,2,2,2
